Animals,MPs,Source,Year,DOI
105,2842052.55521242,Lab,2022,https://doi.org/10.1186%2Fs12989-022-00453-2
105,28420525.5521242,Lab,2022,https://doi.org/10.1186%2Fs12989-022-00453-2
105,181891.363533595,Lab,2022,https://doi.org/10.1186%2Fs12989-022-00453-2
105,1818913.63533595,Lab,2022,https://doi.org/10.1186%2Fs12989-022-00453-2
40,15460510801.9273,Lab,2023,https://doi.org/10.1289/EHP11072
60,11936620731892.1,Lab,2023,https://doi.org/10.3389/fphys.2023.1072797
60,119366207318921,Lab,2023,https://doi.org/10.3389/fphys.2023.1072797
60,1193662073189210,Lab,2023,https://doi.org/10.3389/fphys.2023.1072797
36,23915.0928763179,Lab,2022,https://doi.org/10.1016/j.ecoenv.2021.112340
36,2391509.28763179,Lab,2022,https://doi.org/10.1016/j.ecoenv.2021.112340
36,1818913635.33595,Lab,2022,https://doi.org/10.1016/j.jhazmat.2022.128431
36,3637827270.67189,Lab,2022,https://doi.org/10.1016/j.jhazmat.2022.128431
120,14596614.3043932,Lab,2020,https://doi.org/10.1016/j.toxlet.2020.01.008
120,58386457.2175729,Lab,2020,https://doi.org/10.1016/j.toxlet.2020.01.008
120,233545828.870291,Lab,2020,https://doi.org/10.1016/j.toxlet.2020.01.008
60,388561.872782947,Lab,2022,https://doi.org/10.1016/j.chemosphere.2021.132579
24,4173737010.86046,Lab,2023,https://doi.org/10.1007/s43188-023-00172-6
24,8347474021.72092,Lab,2023,https://doi.org/10.1007/s43188-023-00172-6
24,16694948043.4418,Lab,2023,https://doi.org/10.1007/s43188-023-00172-6
24,2009532109.74614,Lab,2023,https://doi.org/10.1007/s43188-023-00172-6
24,4019064219.49228,Lab,2023,https://doi.org/10.1007/s43188-023-00172-6
24,8038128438.98457,Lab,2023,https://doi.org/10.1007/s43188-023-00172-6
24,49430321.6953674,Lab,2023,https://doi.org/10.1007/s43188-023-00172-6
24,98860643.3907348,Lab,2023,https://doi.org/10.1007/s43188-023-00172-6
24,197721286.78147,Lab,2023,https://doi.org/10.1007/s43188-023-00172-6
24,15298511.7064484,Lab,2023,https://doi.org/10.1007/s43188-023-00172-6
24,30597023.4128967,Lab,2023,https://doi.org/10.1007/s43188-023-00172-6
24,61194046.8257934,Lab,2023,https://doi.org/10.1007/s43188-023-00172-6
48,174615.708992251,Lab,2022,https://doi.org/10.1016/j.envint.2022.107391
65,210522411497215,Lab,2022,https://doi.org/10.1016/j.chemosphere.2021.132631
65,710513138803.104,Lab,2022,https://doi.org/10.1016/j.chemosphere.2021.132631
65,1684179291977730,Lab,2022,https://doi.org/10.1016/j.chemosphere.2021.132631
32,2694686867.16436,Lab,2023,https://doi.org/10.1016/j.envpol.2023.121068
32,21557494.9373149,Lab,2023,https://doi.org/10.1016/j.envpol.2023.121068
12,72756545413.4378,Lab,2021,https://doi.org/10.1016/j.ecoenv.2021.112882
12,29473.1376096103,Lab,2023,https://doi.org/10.1016/j.envpol.2023.121482
12,294731.376096103,Lab,2023,https://doi.org/10.1016/j.envpol.2023.121482
12,2947313.76096103,Lab,2023,https://doi.org/10.1016/j.envpol.2023.121482
110,589462.752192204,Lab,2022,https://doi.org/10.1016/j.envint.2022.107121
24,145513090.826876,Lab,2023,https://doi.org/10.3390/ijms24087382
24,145513090826.876,Lab,2023,https://doi.org/10.3390/ijms24087382
42,153772.891876227,Lab,2023,https://doi.org/10.1016/j.envpol.2023.121376
42,1537728.91876227,Lab,2023,https://doi.org/10.1016/j.envpol.2023.121376
42,15377289.1876227,Lab,2023,https://doi.org/10.1016/j.envpol.2023.121376
42,518.983510082267,Lab,2023,https://doi.org/10.1016/j.envpol.2023.121376
42,5189.83510082267,Lab,2023,https://doi.org/10.1016/j.envpol.2023.121376
42,51898.3510082267,Lab,2023,https://doi.org/10.1016/j.envpol.2023.121376
40,7275654541.34378,Lab,2023,https://doi.org/10.1016/j.jhazmat.2022.130544
40,72756545413.4378,Lab,2023,https://doi.org/10.1016/j.jhazmat.2022.130544
40,727565454134.378,Lab,2023,https://doi.org/10.1016/j.jhazmat.2022.130544
,14551309082.6876,Lab,2023,https://doi.org/10.1016/j.ecoenv.2023.114821
,14551309082687.6,Lab,2023,https://doi.org/10.1016/j.ecoenv.2023.114821
18,3493112.60558344,Lab,2022,https://doi.org/10.1016/j.ecoenv.2022.114194
18,3193702.95367629,Lab,2022,https://doi.org/10.1016/j.ecoenv.2022.114194
18,2429991.37779717,Lab,2022,https://doi.org/10.1016/j.ecoenv.2022.114194
