DOI,Year Pub,Study,Species,n,Polymer,Density(g/cm^3),Diameter(µm),Radius(µm),[MP] ,Units,[mg/kg],Items/kg_SOIL,Volume,Volume cm3,Density*V,D*V*1000,mg/kg / (D*V*1000) = Items/kg,
https://doi.org/10.3390/polym14030402,2022,Lab,Mice,136,Polyethylene (PE),0.96,10-50,15,500,mg/kg,500,,14137.1669411541,0.0000000141371669411541,0.0000000135716802635079,0.0000135716802635079,36841422.0120128,
https://doi.org/10.3390/polym14030402,2022,Lab,Mice,136,Polyethylene (PE),0.96,10-50,15,1000,mg/kg,1000,,14137.1669411541,0.0000000141371669411541,0.0000000135716802635079,0.0000135716802635079,73682844.0240257,
https://doi.org/10.3390/polym14030402,2022,Lab,Mice,136,Polyethylene (PE),0.96,10-50,15,2000,mg/kg,2000,,14137.1669411541,0.0000000141371669411541,0.0000000135716802635079,0.0000135716802635079,147365688.048051,
https://doi.org/10.3390/polym14112220,2022,Lab,Mice,128,Polytetraflouroethylene (PET),2.2,6.03,3.015,500,mg/kg,500,,114.802291999503,0.000000000114802291999503,0.000000000252565042398907,0.000000252565042398907,1979688064.70964,
https://doi.org/10.3390/polym14112220,2022,Lab,Mice,128,Polytetraflouroethylene (PET),2.2,31.65,15.825,500,mg/kg,500,,16600.4463475853,0.0000000166004463475853,0.0000000365209819646877,0.0000365209819646877,13690760.0262077,
https://doi.org/10.3390/polym14112220,2022,Lab,Mice,128,Polytetraflouroethylene (PET),2.2,6.03,3.015,1000,mg/kg,1000,,114.802291999503,0.000000000114802291999503,0.000000000252565042398907,0.000000252565042398907,3959376129.41928,
https://doi.org/10.3390/polym14112220,2022,Lab,Mice,128,Polytetraflouroethylene (PET),2.2,31.65,15.825,1000,mg/kg,1000,,16600.4463475853,0.0000000166004463475853,0.0000000365209819646877,0.0000365209819646877,27381520.0524155,
https://doi.org/10.3390/polym14112220,2022,Lab,Mice,128,Polytetraflouroethylene (PET),2.2,6.03,3.015,2000,mg/kg,2000,,114.802291999503,0.000000000114802291999503,0.000000000252565042398907,0.000000252565042398907,7918752258.83855,
https://doi.org/10.3390/polym14112220,2022,Lab,Mice,128,Polytetraflouroethylene (PET),2.2,31.65,15.825,2000,mg/kg,2000,,16600.4463475853,0.0000000166004463475853,0.0000000365209819646877,0.0000365209819646877,54763040.1048309,
https://doi.org/10.1016/j.scitotenv.2020.143085,2021,Lab,Mice,50,Polystyrene (PS),1.064,5,2.5,500,µg/L,0.5,,65.4498469497874,0.0000000000654498469497874,0.0000000000696386371545738,0.0000000696386371545738,7179922.24474715,
